selected_text,sentiment
my boss was not happy w/ them. Lots of fun.,neutral
Good,positive
says good (or should i say bad?) afternoon!,neutral
i dont think you can vote anymore!,negative
better,positive
headache,negative
had an awsome salad!,positive
fine!,positive
Thank,positive
Why don't adobe realise no one WANTS to pay for Photoshop et al so they should just give it to us for free,neutral
PRD take a long time to review!,neutral
"2008 Well, having to revise them!  Was to do some more gardening, now, I guess hoovering and some warcraft  Not played in a week",neutral
Miss you my dear,negative
Have just bought a TV tuner for my laptop.  He he.  I deserve a present,positive
ya mine too but for very different reason,neutral
", my tummy is not happy. Boo.",negative
s not good,negative
having no service sucks,negative
no more friends,negative
i have perused the #fieldnotes website and it is good.  too bad i must return to work,neutral
....welcome to public transport  X,neutral
goddamn,negative
uh oh,negative
HAppy birthday little sister of mine.,positive
aaawww  no worries,positive
"oh, /me still hasn't got around to starting it",neutral
glad,positive
what's going on,neutral
"I can't, I'm studying so I don't fail  Come over, I'll make u some tortellini or chicken or a chicken salad.",neutral
mp; Me,positive
not sure... there are fanciful expensive ones - but some basic ones are not expensive.,neutral
hello thereeeeeee,neutral
cute.,positive
has just joined the twitter community,neutral
"o quite like lily allen and her music, to be honest.",positive
what Brody how dare u,negative
useless,negative
I'm sooo HAPPY De,positive
lonesome,negative
I was rooting for Betty.,neutral
That would be most welcome,positive
happy,positive
Is hungry with a sub,neutral
lost,negative
i see you there,neutral
never becomes familiar,negative
I can't comment directly to someone...... and I'm here all alone,neutral
"aw, that's cute",positive
"I'm absolutely exhausted,",negative
So good! Glad you finally got to see them,positive
"after 4 years of trying, my cat today figured out how to open the under-the-sink cupboard.  time for a target run to buy safety locks",neutral
Have a great day everyone,positive
my dog ran awayyy,negative
"omggg, how were the &quot;crazy cobras&quot; i wantewd to see them when they were",neutral
Today seems like it should be a good day!,positive
It's Raining!,neutral
is missing someone..,negative
*sigh*,negative
"Hot ****,",negative
ouch!,negative
.scary,negative
waiting for my mom to get home,neutral
love,positive
damm,negative
UGH... I am soooo drag assing today  but on a brighter note I got my G1 update &amp; it is the biznesss,neutral
Feels like im going to cough up a lung,negative
I miss it there,negative
nice,positive
See you on may 16!!,neutral
"hall no  i was gutted when he wasn't. lmao. i think i'm obsessed with him, bahaha.",positive
I want to know when the auditions are Mander! Text or...reply please!,neutral
I'll stop by for a bit when I'm off.  But have to rush to rehearsal - no quiet for me tonight.,neutral
"Whoa, I didn't mean to sleep for more than an hour",neutral
In bed after a good last saturday in ec. I'm gonna miss this place but can't wait til summer,negative
Is the Bee to Busy to talk to his buddy on Yahoo?,neutral
I need followers!!!,neutral
Im on my way to brookings,neutral
_44 Thanks!! It was a bit out of my comfort zone but it was fun,neutral
stress,negative
is watching the canucks,neutral
good person,positive
"blerg, **** you Monday, why must you always come.  Decent weekend, new glasses, hair color and got carded at Gamestop = awesome ego boost",neutral
hoping,positive
gprof problem on Mac  why ??,neutral
e nice,positive
! How exciting!,positive
"done with the fkn exam! n just bought the mothers day gift, finally... tada! the new prada fragrance  going to meet up mum n fam now : ...",neutral
had a good time.,positive
Goodnight Beautiful world  sweet dreams. olive juice!,positive
love,positive
Yay for St Louis traffic,neutral
I have to pee.,neutral
hhahaa!    its well strange just woke up to an empty house ahah  lolllllyyyyyyyy&lt;3 love th,neutral
awesome!,positive
i got followed by one that says she doesn't talk to &quot;god people&quot;-i wonder if she talks to &quot;god,neutral
uh wait...i thought this was the 29th...tonight,neutral
doesn't like,negative
Great meeting..,positive
&quot;We did it we did it oh yea yea yea no eating here tonite woo eating here tonight no no no eating here tonite you on a diet&quot; findi,neutral
"hey adt, guess what. my princelple's number plate is adtï¿½000 well its not 000, i just dunno the numbers.",neutral
didnt get my hopes up,negative
u drink mor than all th #g1freaks put togetha!,neutral
i hate that this keeps happening,negative
1st day of work today was a bit tiring but ok lol now onto college work,neutral
cute,positive
does anybody want to throw a baseball around with me?,neutral
it was aweesome,positive
Blessings and Jo,positive
upgraded,neutral
glad,positive
Done with my drew and jayk handmade gifts now watching old menudo vids,neutral
Whaat? That would seem to be a very powerful spell. Kind of tips the scale in their favor.,neutral
acting weird,negative
and  there is no top 40 radio station in fresno!,neutral
d i'm really excited,positive
Home Sweet Home by Carrie Underwood makes me sadd,negative
I am not doing much  all well!,negative
oh man had great nap (still alittle tired) having pizza for dinner.,neutral
scare me,negative
"JONAS is awesome! I just watched Groovy Movies  Frankie,, was weird lol",neutral
only he keeps his clothes on  BUT he can take them.,neutral
starting tm alex and i are doing a whole week of no going out and spending money that we dont have.,neutral
bored,negative
"Try being in AZ again brooke, Omg you cant even be outside for less than a minute before getting your neck burned.",negative
home from taking Nick home - a little lighter in pocket after being flashed by a speed camera,neutral
says she wants to be w/ marykay @ sendai right now,neutral
Awesome,positive
i love electro house,positive
she has made the rite decision,positive
gah!,negative
I'm drawning in emails,neutral
t boring,negative
am on here..finally. AND YAY. seriously. that made my day oh fellow hell ruler,neutral
d happy mother's day!,positive
"Well, I made the list look better, but I can't do anything about the number pictures, since I already closed that tab.",neutral
bbq party,neutral
"is upset,",negative
Sorry to hear about the laptop troubles. Hope you can get them fixed and the lappy back to norm.,neutral
"Omg! I never got your message so I didn't notice until I was looking back a ways! Sorry, that was a good idea though...lol",neutral
nvm i just got ur message that ur sick,neutral
